t = 1.6e-11, u =     996.555 1.11855e+08 4.20977e+22     1492.23 4.20977e+22     25730.7, Te = 1711.6, T = 300
t = 1.61e-11, u =     996.555 1.11855e+08 4.23616e+22     1506.38 4.23616e+22       25892, Te = 1717.07, T = 300
t = 1.62e-11, u =     996.555 1.11855e+08 4.26255e+22     1520.57 4.26255e+22     26053.3, Te = 1722.51, T = 300
t = 1.63e-11, u =     996.555 1.11856e+08 4.28895e+22     1534.82 4.28895e+22     26214.7, Te = 1727.95, T = 300
t = 1.64e-11, u =     996.555 1.11856e+08 4.31534e+22      1549.1 4.31534e+22       26376, Te = 1733.37, T = 300
t = 1.65e-11, u =     996.555 1.11856e+08 4.34173e+22     1563.43 4.34173e+22     26537.3, Te = 1738.77, T = 300
t = 1.66e-11, u =     996.555 1.11856e+08 4.36813e+22     1577.81 4.36813e+22     26698.6, Te = 1744.16, T = 300
t = 1.67e-11, u =     996.555 1.11856e+08 4.39452e+22     1592.23 4.39452e+22     26859.9, Te = 1749.53, T = 300
t = 1.68e-11, u =     996.555 1.11856e+08 4.42091e+22      1606.7 4.42091e+22     27021.2, Te = 1754.88, T = 300
t = 1.69e-11, u =     996.555 1.11856e+08 4.44731e+22     1621.21 4.44731e+22     27182.6, Te = 1760.22, T = 300
t = 1.7e-11, u =     996.555 1.11856e+08  4.4737e+22     1635.76  4.4737e+22     27343.9, Te = 1765.54, T = 300
t = 1.71e-11, u =     996.555 1.11856e+08 4.50009e+22     1650.36 4.50009e+22     27505.2, Te = 1770.85, T = 300
t = 1.72e-11, u =     996.555 1.11856e+08 4.52648e+22        1665 4.52648e+22     27666.5, Te = 1776.15, T = 300
t = 1.73e-11, u =     996.555 1.11856e+08 4.55288e+22     1679.68 4.55288e+22     27827.8, Te = 1781.42, T = 300
t = 1.74e-11, u =     996.555 1.11856e+08 4.57927e+22     1694.41 4.57927e+22     27989.1, Te = 1786.68, T = 300
t = 1.75e-11, u =     996.555 1.11856e+08 4.60566e+22     1709.18 4.60566e+22     28150.5, Te = 1791.93, T = 300
t = 1.76e-11, u =     996.555 1.11856e+08 4.63206e+22     1723.99 4.63206e+22     28311.8, Te = 1797.16, T = 300
t = 1.77e-11, u =     996.555 1.11856e+08 4.65845e+22     1738.85 4.65845e+22     28473.1, Te = 1802.38, T = 300
t = 1.78e-11, u =     996.555 1.11856e+08 4.68484e+22     1753.75 4.68484e+22     28634.4, Te = 1807.58, T = 300
t = 1.79e-11, u =     996.555 1.11856e+08 4.71124e+22     1768.68 4.71124e+22     28795.7, Te = 1812.76, T = 300
t = 1.8e-11, u =     996.555 1.11856e+08 4.73763e+22     1783.67 4.73763e+22     28957.1, Te = 1817.93, T = 300
t = 1.81e-11, u =     996.555 1.11856e+08 4.76402e+22     1798.69 4.76402e+22     29118.4, Te = 1823.09, T = 300
t = 1.82e-11, u =     996.555 1.11856e+08 4.79041e+22     1813.75 4.79041e+22     29279.7, Te = 1828.23, T = 300
t = 1.83e-11, u =     996.555 1.11856e+08 4.81681e+22     1828.86 4.81681e+22       29441, Te = 1833.35, T = 300
t = 1.84e-11, u =     996.555 1.11856e+08  4.8432e+22        1844  4.8432e+22     29602.3, Te = 1838.46, T = 300
t = 1.85e-11, u =     996.555 1.11856e+08 4.86959e+22     1859.19 4.86959e+22     29763.6, Te = 1843.56, T = 300
t = 1.86e-11, u =     996.555 1.11856e+08 4.89599e+22     1874.42 4.89599e+22       29925, Te = 1848.64, T = 300
t = 1.87e-11, u =     996.555 1.11856e+08 4.92238e+22     1889.69 4.92238e+22     30086.3, Te = 1853.7, T = 300
t = 1.88e-11, u =     996.555 1.11856e+08 4.94877e+22     1904.99 4.94877e+22     30247.6, Te = 1858.75, T = 300
t = 1.89e-11, u =     996.555 1.11856e+08 4.97516e+22     1920.34 4.97516e+22     30408.9, Te = 1863.79, T = 300
t = 1.9e-11, u =     996.555 1.11856e+08 5.00156e+22     1935.73 5.00156e+22     30570.2, Te = 1868.81, T = 300
t = 1.91e-11, u =     996.555 1.11856e+08 5.02795e+22     1951.16 5.02795e+22     30731.5, Te = 1873.82, T = 300
t = 1.92e-11, u =     996.555 1.11856e+08 5.05434e+22     1966.63 5.05434e+22     30892.9, Te = 1878.81, T = 300
t = 1.93e-11, u =     996.555 1.11856e+08 5.08074e+22     1982.13 5.08074e+22     31054.2, Te = 1883.79, T = 300
t = 1.94e-11, u =     996.555 1.11856e+08 5.10713e+22     1997.68 5.10713e+22     31215.5, Te = 1888.75, T = 300
t = 1.95e-11, u =     996.555 1.11856e+08 5.13352e+22     2013.26 5.13352e+22     31376.8, Te = 1893.7, T = 300
t = 1.96e-11, u =     996.555 1.11856e+08 5.15991e+22     2028.89 5.15991e+22     31538.1, Te = 1898.63, T = 300
t = 1.97e-11, u =     996.555 1.11856e+08 5.18631e+22     2044.55 5.18631e+22     31699.4, Te = 1903.55, T = 300
t = 1.98e-11, u =     996.555 1.11856e+08  5.2127e+22     2060.25  5.2127e+22     31860.7, Te = 1908.46, T = 300
t = 1.99e-11, u =     996.555 1.11856e+08 5.23909e+22     2075.99 5.23909e+22     32022.1, Te = 1913.35, T = 300
t = 2e-11, u =     996.555 1.11856e+08 5.26548e+22     2091.76 5.26548e+22     32183.4, Te = 1918.23, T = 300
t = 2.01e-11, u =     996.555 1.11856e+08 5.29188e+22     2107.58 5.29188e+22     32344.7, Te = 1923.09, T = 300
t = 2.02e-11, u =     996.555 1.11857e+08 5.31827e+22     2123.43 5.31827e+22       32506, Te = 1927.94, T = 300
t = 2.03e-11, u =     996.555 1.11857e+08 5.34466e+22     2139.32 5.34466e+22     32667.3, Te = 1932.77, T = 300
t = 2.04e-11, u =     996.555 1.11857e+08 5.37106e+22     2155.25 5.37106e+22     32828.6, Te = 1937.6, T = 300
t = 2.05e-11, u =     996.555 1.11857e+08 5.39745e+22     2171.21 5.39745e+22       32990, Te = 1942.4, T = 300
t = 2.06e-11, u =     996.555 1.11857e+08 5.42384e+22     2187.21 5.42384e+22     33151.3, Te = 1947.2, T = 300
t = 2.07e-11, u =     996.555 1.11857e+08 5.45023e+22     2203.25 5.45023e+22     33312.6, Te = 1951.98, T = 300
t = 2.08e-11, u =     996.555 1.11857e+08 5.47663e+22     2219.33 5.47663e+22     33473.9, Te = 1956.74, T = 300
t = 2.09e-11, u =     996.555 1.11857e+08 5.50302e+22     2235.44 5.50302e+22     33635.2, Te = 1961.5, T = 300
t = 2.1e-11, u =     996.555 1.11857e+08 5.52941e+22     2251.59 5.52941e+22     33796.5, Te = 1966.24, T = 300
t = 2.11e-11, u =     996.555 1.11857e+08 5.55581e+22     2267.77 5.55581e+22     33957.9, Te = 1970.96, T = 300
t = 2.12e-11, u =     996.555 1.11857e+08  5.5822e+22     2283.99  5.5822e+22     34119.2, Te = 1975.67, T = 300
t = 2.13e-11, u =     996.555 1.11857e+08 5.60859e+22     2300.25 5.60859e+22     34280.5, Te = 1980.37, T = 300
t = 2.14e-11, u =     996.555 1.11857e+08 5.63498e+22     2316.54 5.63498e+22     34441.8, Te = 1985.06, T = 300
t = 2.15e-11, u =     996.555 1.11857e+08 5.66138e+22     2332.87 5.66138e+22     34603.1, Te = 1989.73, T = 300
t = 2.16e-11, u =     996.555 1.11857e+08 5.68777e+22     2349.23 5.68777e+22     34764.4, Te = 1994.39, T = 300
t = 2.17e-11, u =     996.555 1.11857e+08 5.71416e+22     2365.63 5.71416e+22     34925.7, Te = 1999.03, T = 300
t = 2.18e-11, u =     996.555 1.11857e+08 5.74055e+22     2382.07 5.74055e+22     35087.1, Te = 2003.67, T = 300
