t = 1.89e-11, u =     996.555 1.11856e+08 4.98836e+22     1928.02 4.98836e+22     30489.6, Te = 1866.29, T = 300
t = 1.9e-11, u =     996.555 1.11856e+08 5.01475e+22     1943.43 5.01475e+22     30650.9, Te = 1871.31, T = 300
t = 1.91e-11, u =     996.555 1.11856e+08 5.04115e+22     1958.88 5.04115e+22     30812.2, Te = 1876.31, T = 300
t = 1.92e-11, u =     996.555 1.11856e+08 5.06754e+22     1974.36 5.06754e+22     30973.5, Te = 1881.29, T = 300
t = 1.93e-11, u =     996.555 1.11856e+08 5.09393e+22     1989.89 5.09393e+22     31134.8, Te = 1886.26, T = 300
t = 1.94e-11, u =     996.555 1.11856e+08 5.12032e+22     2005.46 5.12032e+22     31296.1, Te = 1891.22, T = 300
t = 1.95e-11, u =     996.555 1.11856e+08 5.14672e+22     2021.06 5.14672e+22     31457.5, Te = 1896.16, T = 300
t = 1.96e-11, u =     996.555 1.11856e+08 5.17311e+22      2036.7 5.17311e+22     31618.8, Te = 1901.08, T = 300
t = 1.97e-11, u =     996.555 1.11856e+08  5.1995e+22     2052.38  5.1995e+22     31780.1, Te = 1906, T = 300
t = 1.98e-11, u =     996.555 1.11856e+08  5.2259e+22      2068.1  5.2259e+22     31941.4, Te = 1910.9, T = 300
t = 1.99e-11, u =     996.555 1.11856e+08 5.25229e+22     2083.86 5.25229e+22     32102.7, Te = 1915.78, T = 300
t = 2e-11, u =     996.555 1.11856e+08 5.27868e+22     2099.66 5.27868e+22       32264, Te = 1920.65, T = 300
t = 2.01e-11, u =     996.555 1.11857e+08 5.30507e+22     2115.49 5.30507e+22     32425.4, Te = 1925.51, T = 300
t = 2.02e-11, u =     996.555 1.11857e+08 5.33147e+22     2131.36 5.33147e+22     32586.7, Te = 1930.35, T = 300
t = 2.03e-11, u =     996.555 1.11857e+08 5.35786e+22     2147.27 5.35786e+22       32748, Te = 1935.18, T = 300
t = 2.04e-11, u =     996.555 1.11857e+08 5.38425e+22     2163.22 5.38425e+22     32909.3, Te = 1939.99, T = 300
t = 2.05e-11, u =     996.555 1.11857e+08 5.41065e+22      2179.2 5.41065e+22     33070.6, Te = 1944.79, T = 300
t = 2.06e-11, u =     996.555 1.11857e+08 5.43704e+22     2195.22 5.43704e+22     33231.9, Te = 1949.58, T = 300
t = 2.07e-11, u =     996.555 1.11857e+08 5.46343e+22     2211.28 5.46343e+22     33393.3, Te = 1954.35, T = 300
t = 2.08e-11, u =     996.555 1.11857e+08 5.48982e+22     2227.37 5.48982e+22     33554.6, Te = 1959.11, T = 300
t = 2.09e-11, u =     996.555 1.11857e+08 5.51622e+22      2243.5 5.51622e+22     33715.9, Te = 1963.86, T = 300
t = 2.1e-11, u =     996.555 1.11857e+08 5.54261e+22     2259.67 5.54261e+22     33877.2, Te = 1968.59, T = 300
t = 2.11e-11, u =     996.555 1.11857e+08   5.569e+22     2275.87   5.569e+22     34038.5, Te = 1973.31, T = 300
t = 2.12e-11, u =     996.555 1.11857e+08 5.59539e+22     2292.11 5.59539e+22     34199.8, Te = 1978.02, T = 300
t = 2.13e-11, u =     996.555 1.11857e+08 5.62179e+22     2308.38 5.62179e+22     34361.1, Te = 1982.71, T = 300
t = 2.14e-11, u =     996.555 1.11857e+08 5.64818e+22     2324.69 5.64818e+22     34522.5, Te = 1987.39, T = 300
t = 2.15e-11, u =     996.555 1.11857e+08 5.67457e+22     2341.04 5.67457e+22     34683.8, Te = 1992.05, T = 300
t = 2.16e-11, u =     996.555 1.11857e+08 5.70097e+22     2357.42 5.70097e+22     34845.1, Te = 1996.7, T = 300
t = 2.17e-11, u =     996.555 1.11857e+08 5.72736e+22     2373.84 5.72736e+22     35006.4, Te = 2001.34, T = 300
t = 2.18e-11, u =     996.555 1.11857e+08 5.75375e+22     2390.29 5.75375e+22     35167.7, Te = 2005.97, T = 300
